2019/5/16,0
2019/5/23,60.5
2019/6/7,169
2019/6/14,230
2019/6/21,259
2019/6/29,320
2019/7/5,341
2019/7/14,372.5
2019/7/19,379
2019/7/25,394
2019/8/1,412.5
2019/8/9,427
2019/8/16,441.5
2019/8/31,457.5
2019/9/5,453.5
2019/9/14,474.5
2019/9/20,492
2019/10/4,521
2019/10/11,547.5
2019/10/24,617
2019/11/1,656
2019/11/9,715
2019/11/22,815
2019/12/3,889
2019/12/25,1003
2020/1/4,1005
2020/1/9,1061.5
2020/1/15,1086
2020/3/18,1204
2020/4/9,1236.5
2020/4/17,1231
2020/4/21,1305
2020/4/30,1357.5
2020/5/5,1368
2020/5/13,1426
2020/5/21,1491.5
2020/5/29,1467
2020/6/17,1634.5
2020/6/26,1613.5
2020/8/13,1857.5
2020/8/19,1893
2020/8/27,1917.5
2020/9/10,1969
2020/9/18,1979
2020/9/26,2020.5
2020/10/10,2060
2021/2/1,2504
2021/3/1,2566
2021/3/18,2592
2021/4/1,2624
2021/4/9,2641
2021/5/2,2686
2021/5/9,2675
2021/5/17,2718.5
2021/5/29,2739.5
2021/6/5,2761
2021/6/9,2772.5
2021/6/9,2771.5
2021/6/9,2773
2021/6/9,2773
2021/6/14,2792.5
2021/6/16,2791.5
2021/6/19,2823
2021/6/20,2819
2021/6/25,2796.5
2021/6/26,2795.5
2021/6/28,2803
2021/6/30,2809
2021/7/3,2815.5
2021/7/6,2813.5
2021/7/8,2821
2021/7/10,2817.5
2021/7/13,2812.5
2021/7/20,2856.5
2021/7/24,2842.5
2021/8/29,2889
2021/9/6,2906.5
2021/9/9,2927.5
